frase,emoji
Hoy estoy muy feliz,😊
Estoy triste,😢
Estoy enamorado,😍
Estoy enojado,😠
Estoy feliz,😄
Me parece bien,👍
Eso es malo,👎
Estoy muy enojado,😠
Estoy muy triste,😢
Te amo,❤️
Te amo mucho,❤️
Te extraño,😔
Te quiero,😘
Eres una persona increible,🤩
Te deseo lo mejor,✨
Interesante,😏
Te estoy esperando,⏳
No me hagas enojar,😠
Necesito caminar,🚶
Te acompaño,👫
Tengo hambre,🍔
Tengo sueño,😴
Quiero un abrazo,🤗
Se ve genial,👍
Te veo mañana,👀
Ya no confío en tí,😞
¡Feliz cumpleaños!,🥳
Estoy emocionado,😄
Estoy nervioso,😬
Estoy tranquilo,😌
Estoy motivado,💪
Quiero abrazarte,🤗
Te amaré todos los días,❤️
¿En qué piensas?,🤔
Estoy muy ansioso,😰
Feliz navidad,🎄
¡Felicidades!,🎉
Voy al gimnasio,💪
Eres mi persona favorita,💖
No voy a llegar a tiempo,⏳
Es un amor,😍
Eres mi mejor amigo,✨
Eres mi mejor amiga,✨
Quiero ser tu amigo,🤝
Quiero pizza,🍕
Me gustan los tacos,🌮
Quiero una hamburguesa,🍔
Te invito un café,☕
Te extraño mucho,😔
No puedo creerlo,😲
No me gusta,😒
Siempre haces lo mismo,😤
Eres increíble,😎
Eres un genio,🧠
Hoy es el día perfecto,😊
No entendí nada,🤔
No me importa,😑
No lo digas,🤫
No lo puedo creer,😲
No me siento bien,🤒
Ya me voy,👋
Ya no quiero estar aqui,😰
Me da lo mismo,😒
Ya no importa,😑
Ya no te quiero,😞
Ya no me importa,😑
Estoy muy asustado,😨
Gracias por todo tu apoyo,🙏
Estoy confundido,😕
Estoy aburrido,😑
Estoy cansado,😴
Estoy muy enfermo,🤒
Estoy mareado,🤢
Estoy agradecido contigo,🙏
Estoy orgulloso de ti,😌
Que frustrante,😤
Ten un buen día,😊
Es terrible,😨
Piensa como genio,🧠
No me caes bien,😒
No me hagas enojar,😤
Ordenaré una pizza,🍕
Vamos por unos tacos,🌮
Vamos por una hamburguesa,🍔
Vamos por un café,☕
Ya veremos,👀
No estoy bien,😞
Me gusta,👍
Eres un tonto,🤪
Eres un amor,💖
Me siento triste y sin ganas de nada,😞
Necesito dormir,😴
Esto es tan frustrante,😤
Estoy nervioso por mi examen de mañana,😰
¡Qué miedo!,😨
Estoy enamorado de ti,😍
¡Felicidades por tu graduación!,🎉
"Sigue adelante, nunca te rindas",💪
"¡Hazlo ahora, no lo dejes para después!",⏳
¡Tú puedes!,💖
¡Esto es increíble!,😲
Qué divertido,😂
Me encanta tomar café,☕
¡Qué loco está esto!,🤪
Estoy pensando qué hacer,🤔
Quiero llorar,😭
Me siento inspirado y tranquilo,😌
Me siento triste por lo que pasó,😢
Voy a caminar al parque,🚶
¡Gracias por todo lo que has hecho!,🙏
Vamos juntos al cine,👫
No puedo dejar de reír,😂
¡Excelente trabajo!,👌
No estoy de acuerdo con eso,👎
Estoy emocionado por Navidad,🎄
¡Vamos a celebrar juntos!,🥳
¡Estoy pensando en ti,😘
Nos vemos pronto,👋
"¡Cállate, es un secreto!",🤫
El café es perfecto para empezar el día,☕
Estoy esperando que todo termine,⏳
"Me voy a dormir, buenas noches",😴
¡Qué incómodo!,😬
Eres especial,💖
Qué molesto eres,😒
Seguiré esforzándome,💪
¡Estoy muy emocionado!,😄
"¡Buen trabajo, sigue así!",👍
Definitivamente no estoy de acuerdo ,👎
¡Bien hecho!,👌
Te mando un beso,😘
Espero que todo salga bien,🙏
Déjame pensarlo,🤔
Hagamoslo juntos,🤝
Eres la mejor,😎
¡Vamos a celebrar!,🥳
Es hora de pensar,🧠
Me siento increible,😎
"¡Felicidades, lo lograste!",🥳
Amo la navidad,🎄
"Wow, eso fue increible!",😲
Todo bien,👌
¡Vamos a festejar!,🥳
Extraño mucho a mi gato,😔
¡Usa tu cerebro!,🧠
Me duele el cerebro,🧠
Me encanta la pizza,🍕
Estoy  molesto por lo que pasó,😠
¡Qué asco!,🤢
Es asqueroso,🤢
¡Qué risa! Es muy divertido,😂
¡Qué nervios!,😬
Te mando un abrazo,🤗
No me fue bien,😞
Ya puedo estar tranquilo,😌
Somos los mejores,😎
